epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1469,0.76621,2.156,1.38429,0.66581,0.7989,0.71636,0.29294,1.74288,6.24348,3.17059,0.000651515,0.000651515,0.000651515
2,60.5749,0.86906,0.78504,1.42037,0.51118,0.59901,0.56118,0.24945,2.1015,2.00148,4.84491,0.00129643,0.00129643,0.00129643
3,77.5118,0.91617,0.75066,1.45105,0.4381,0.35149,0.2894,0.09383,3.17562,2.82325,4.48761,0.00191935,0.00191935,0.00191935
4,95.3001,0.93383,0.7374,1.46366,0.09918,0.40099,0.06254,0.01362,3.3312,3.89019,10.0642,0.001901,0.001901,0.001901
5,112.754,0.89226,0.69824,1.42637,0.59178,0.68177,0.67784,0.23863,2.27395,2.45542,5.44,0.001868,0.001868,0.001868
6,129.982,0.87071,0.68835,1.42115,0.72118,0.79391,0.8224,0.51707,1.17994,1.35251,2.24919,0.001835,0.001835,0.001835
7,146.794,0.85439,0.67532,1.39672,0.86135,0.86139,0.93272,0.66761,1.03138,0.84304,1.86233,0.001802,0.001802,0.001802
8,164.272,0.77178,0.60368,1.33294,0.93074,0.93135,0.97962,0.71568,0.95007,0.77203,1.81226,0.001769,0.001769,0.001769
9,182.171,0.73546,0.57455,1.31973,0.85539,0.90779,0.93537,0.67664,0.96008,0.67621,1.85001,0.001736,0.001736,0.001736
10,199.228,0.73696,0.55,1.30324,0.79246,0.77723,0.84304,0.58087,1.06932,1.22599,1.91313,0.001703,0.001703,0.001703
11,216.286,0.68482,0.5208,1.27939,0.94627,0.95912,0.98068,0.72696,0.90831,0.75491,1.94059,0.00167,0.00167,0.00167
12,233.792,0.69436,0.5242,1.27211,0.9913,0.9505,0.98435,0.79437,0.79856,0.5825,1.72955,0.001637,0.001637,0.001637
13,252.223,0.65621,0.49292,1.25681,0.97507,0.96833,0.98671,0.79476,0.80946,0.53358,1.69251,0.001604,0.001604,0.001604
14,269.351,0.65082,0.48389,1.24658,0.97468,0.9528,0.98188,0.82985,0.65944,0.52157,1.43308,0.001571,0.001571,0.001571
15,286.272,0.63309,0.46646,1.24083,0.89476,0.87129,0.93253,0.77081,0.73509,0.70974,1.56388,0.001538,0.001538,0.001538
16,303.018,0.59918,0.44444,1.20718,0.95692,0.94059,0.96439,0.79165,0.81092,0.52544,1.70176,0.001505,0.001505,0.001505
17,320.685,0.58967,0.43059,1.20632,0.96889,0.9703,0.98819,0.84456,0.65581,0.44886,1.45797,0.001472,0.001472,0.001472
18,338.153,0.59546,0.44543,1.20417,0.97559,0.99505,0.99311,0.84704,0.61201,0.45534,1.36266,0.001439,0.001439,0.001439
19,355.085,0.58219,0.43215,1.20606,0.9792,0.93213,0.97448,0.84265,0.66214,0.47564,1.45399,0.001406,0.001406,0.001406
20,372.364,0.59754,0.44986,1.2205,0.99502,0.98894,0.99495,0.87094,0.59882,0.41183,1.38607,0.001373,0.001373,0.001373
21,390.068,0.59061,0.44392,1.20515,0.98825,0.9901,0.99395,0.88341,0.57384,0.42876,1.37446,0.00134,0.00134,0.00134
22,408.045,0.53897,0.40359,1.17222,0.97522,0.97425,0.98492,0.85736,0.65338,0.40949,1.45456,0.001307,0.001307,0.001307
23,425.362,0.55659,0.40302,1.17909,1,0.99359,0.995,0.86771,0.55344,0.36671,1.32367,0.001274,0.001274,0.001274
24,442.437,0.52921,0.40223,1.16058,0.95726,0.9703,0.99133,0.8827,0.57436,0.42127,1.28693,0.001241,0.001241,0.001241
25,459.662,0.52209,0.3788,1.15967,0.98479,0.9703,0.98679,0.85517,0.62467,0.39558,1.38078,0.001208,0.001208,0.001208
26,477.784,0.52677,0.37824,1.1639,0.96185,0.99854,0.9936,0.9106,0.47949,0.31959,1.22059,0.001175,0.001175,0.001175
27,495.301,0.52254,0.37288,1.16638,0.98961,0.98515,0.9942,0.88303,0.51736,0.35388,1.22846,0.001142,0.001142,0.001142
28,512.591,0.51063,0.37004,1.14707,0.99505,0.99497,0.99426,0.91356,0.4639,0.34399,1.17056,0.001109,0.001109,0.001109
29,530.191,0.50081,0.35844,1.14393,0.96848,0.99505,0.99249,0.91249,0.47279,0.357,1.18958,0.001076,0.001076,0.001076
30,548.467,0.47429,0.35195,1.13141,1,0.98994,0.995,0.9165,0.45752,0.32371,1.17243,0.001043,0.001043,0.001043
31,565.61,0.47945,0.34866,1.12651,0.984,0.99505,0.99485,0.92184,0.4718,0.33007,1.17478,0.00101,0.00101,0.00101
32,582.571,0.47135,0.34134,1.12609,0.9996,0.99505,0.995,0.91581,0.45764,0.29283,1.19287,0.000977,0.000977,0.000977
33,599.65,0.49159,0.34951,1.1365,0.99505,0.99432,0.995,0.92458,0.45452,0.3037,1.1537,0.000944,0.000944,0.000944
34,618.434,0.46336,0.335,1.11607,0.99953,0.99505,0.995,0.9233,0.45226,0.28968,1.16761,0.000911,0.000911,0.000911
35,636.739,0.47749,0.33807,1.13268,0.98309,0.98515,0.99354,0.91374,0.45627,0.30573,1.15151,0.000878,0.000878,0.000878
36,653.518,0.45822,0.34022,1.11858,0.9973,0.98515,0.9949,0.92265,0.42678,0.31726,1.14705,0.000845,0.000845,0.000845
37,670.509,0.45975,0.33003,1.11598,0.99937,0.9802,0.9949,0.92666,0.45647,0.31462,1.18936,0.000812,0.000812,0.000812
38,688.847,0.44471,0.32901,1.11156,0.98472,0.9901,0.99424,0.94173,0.41823,0.30789,1.13695,0.000779,0.000779,0.000779
39,706.613,0.44945,0.33625,1.11249,0.97953,1,0.99441,0.94028,0.42424,0.29721,1.14212,0.000746,0.000746,0.000746
40,724.009,0.44081,0.31299,1.11315,0.98924,1,0.995,0.9478,0.38808,0.26427,1.12194,0.000713,0.000713,0.000713
41,741.019,0.43981,0.30704,1.09645,0.99406,0.9901,0.9949,0.94217,0.37579,0.25512,1.08992,0.00068,0.00068,0.00068
42,759.509,0.42752,0.30661,1.0939,0.99937,0.99505,0.995,0.94983,0.35738,0.24482,1.06867,0.000647,0.000647,0.000647
43,776.707,0.43508,0.31463,1.10731,0.99937,0.9901,0.995,0.95044,0.38239,0.26192,1.08327,0.000614,0.000614,0.000614
44,794.306,0.4231,0.30812,1.09929,0.99945,0.9901,0.995,0.94216,0.39094,0.24941,1.0892,0.000581,0.000581,0.000581
45,811.526,0.42279,0.29986,1.09398,1,0.99495,0.995,0.95091,0.37043,0.25113,1.08546,0.000548,0.000548,0.000548
46,829.556,0.41194,0.29776,1.09566,0.99507,0.99924,0.995,0.94814,0.39415,0.28602,1.10627,0.000515,0.000515,0.000515
47,847.264,0.41199,0.28177,1.09048,0.99384,0.99505,0.99475,0.93971,0.422,0.2738,1.14148,0.000482,0.000482,0.000482
48,864.757,0.38874,0.27961,1.08007,1,0.99856,0.995,0.94515,0.38661,0.26571,1.08933,0.000449,0.000449,0.000449
49,882.574,0.41102,0.29041,1.09269,0.99505,0.99486,0.99495,0.95535,0.3455,0.25402,1.0489,0.000416,0.000416,0.000416
50,901.025,0.38909,0.27042,1.07263,0.98528,0.99378,0.99485,0.95213,0.35273,0.23644,1.06545,0.000383,0.000383,0.000383
51,919.343,0.23351,0.20729,1.00673,1,0.99944,0.995,0.95476,0.33004,0.23281,1.0315,0.00035,0.00035,0.00035
52,936.472,0.21854,0.18789,0.99946,0.99473,1,0.99446,0.96371,0.31781,0.21694,1.00535,0.000317,0.000317,0.000317
53,953.267,0.20364,0.1722,0.95954,0.99507,0.99849,0.9948,0.96761,0.3024,0.2157,0.99628,0.000284,0.000284,0.000284
54,970.418,0.19369,0.1623,0.94671,0.99465,1,0.99475,0.9711,0.29556,0.21601,0.99692,0.000251,0.000251,0.000251
55,987.735,0.18799,0.15559,0.94895,0.9996,1,0.995,0.96854,0.29864,0.22639,0.99712,0.000218,0.000218,0.000218
56,1004.36,0.1748,0.15326,0.94208,0.99963,1,0.995,0.96979,0.28344,0.20632,0.97582,0.000185,0.000185,0.000185
57,1021.08,0.17884,0.14546,0.95084,0.99959,1,0.995,0.96866,0.30111,0.21649,1.00372,0.000152,0.000152,0.000152
58,1037.56,0.17659,0.14582,0.94946,0.99956,1,0.995,0.97472,0.27971,0.19611,0.98677,0.000119,0.000119,0.000119
59,1055.52,0.17248,0.14258,0.94988,0.99942,1,0.995,0.97559,0.28088,0.19288,0.9821,8.6e-05,8.6e-05,8.6e-05
60,1072.58,0.16979,0.13992,0.94198,0.99964,1,0.995,0.97356,0.26894,0.19139,0.97831,5.3e-05,5.3e-05,5.3e-05
